query,intent,lang,history,prev_intent
"what is my account balance",balance_inquiry,en,"",""
"मेरा बैलेंस कितना है",balance_inquiry,hi,"",""
"mera account balance kitna hai",balance_inquiry,hinglish,"",""
"I lost my card, please block it",card_lost_or_stolen,en,"",""
"मेरा कार्ड चोरी हो गया है उसे ब्लॉक करें",card_lost_or_stolen,hi,"",""
"mera card kho gaya hai block kar do",card_lost_or_stolen,hinglish,"",""
"my card is not working at the store",card_not_working,en,"",""
"my card 4111 1111 1111 1111 is not working",card_not_working,en,"",""
"मेरा कार्ड काम नहीं कर रहा है",card_not_working,hi,"",""
"mera card kaam nahi kar raha",card_not_working,hinglish,"",""
"my payment was declined at checkout",card_payment_declined,en,"",""
"मेरा भुगतान अस्वीकृत हो गया",card_payment_declined,hi,"",""
"payment decline ho gaya kyun",card_payment_declined,hinglish,"",""
"how do I activate my new card",card_activation,en,"",""
"naya card activate kaise karu",card_activation,hinglish,"",""
"there is a charge I don't recognize",unrecognized_transaction,en,"",""
"I see an unknown transaction of $500 on my account",unrecognized_transaction,en,"",""
"ek transaction hai jo maine nahi kiya",unrecognized_transaction,hinglish,"",""
"I was charged twice for the same order",duplicate_charge,en,"",""
"My card ending 1234 was charged $0.00 twice",duplicate_charge,en,"",""
"ek hi cheez ke liye do baar paise kat gaye",duplicate_charge,hinglish,"",""
"why is my transaction still pending",transaction_pending,en,"",""
"मेरा लेनदेन अभी भी लंबित क्यों है",transaction_pending,hi,"",""
"where is my refund of 2000",refund_status,en,"",""
"mera refund kab tak aayega",refund_status,hinglish,"",""
"I want to transfer 5000 to my friend",transfer_funds,en,"",""
"मुझे पैसे ट्रांसफर करने हैं",transfer_funds,hi,"",""
"mujhe paise transfer karne hain",transfer_funds,hinglish,"",""
"my transfer failed but the money was deducted",transfer_failed,en,"",""
"transfer fail ho gaya lekin paise kat gaye",transfer_failed,hinglish,"",""
"what is my daily transfer limit",transfer_limit_inquiry,en,"",""
"transfer ki limit kitni hai",transfer_limit_inquiry,hinglish,"",""
"send me last month's statement",account_statement,en,"",""
"मुझे अप्रैल का स्टेटमेंट चाहिए",account_statement,hi,"",""
"pichle mahine ka statement bhejo",account_statement,hinglish,"",""
"I want to change my ATM pin",change_pin,en,"",""
"मुझे अपना पिन बदलना है",change_pin,hi,"",""
"pin change karna hai",change_pin,hinglish,"",""
"update my phone number to 9876543210",update_contact_details,en,"",""
"please change my email to john@example.com",update_contact_details,en,"",""
"mera mobile number update karo",update_contact_details,hinglish,"",""
"am I eligible for a personal loan",loan_inquiry,en,"",""
"mujhe loan chahiye kya mil sakta hai",loan_inquiry,hinglish,"",""
"what is the USD to INR rate today",exchange_rate,en,"",""
"dollar ka rate kya hai aaj",exchange_rate,hinglish,"",""
"why was I charged a 199 fee",fee_explanation,en,"",""
"why is there a $0.00 charge on my statement",fee_explanation,en,"",""
"ye 199 ka charge kis baat ka hai",fee_explanation,hinglish,"",""
"the ATM did not dispense cash but my account was debited",atm_issue,en,"",""
"atm se paise nahi nikle account se kat gaye",atm_issue,hinglish,"",""
"what's the weather today",fallback,en,"",""
"tell me a joke",fallback,en,"",""
"aaj mausam kaisa hai",fallback,hinglish,"",""
"yes do it",card_lost_or_stolen,en,"I lost my card [SEP] Shall I block your card ending 1234?",card_lost_or_stolen
"haan kar do",card_lost_or_stolen,hinglish,"mera card kho gaya [SEP] kya main aapka card block kar du?",card_lost_or_stolen
"what about for savings",balance_inquiry,en,"what is my current account balance [SEP] your current account balance is shown",balance_inquiry
"the second one",transfer_funds,en,"show my payees [SEP] you have two payees: 1) rent 2) mom",transfer_funds
